origin_country,total_flights,avg_velocity,on_ground
Afghanistan,2,0.0,0
Algeria,2,208.97000000000003,0
Angola,1,206.38,0
Argentina,21,176.6347619047619,2
Australia,345,103.80616279069767,84
Austria,16,195.1825,1
Azerbaijan,2,134.195,1
Bahamas,2,220.115,0
Bahrain,8,171.05875,1
Bangladesh,5,191.676,0
Belarus,2,105.97500000000001,2
Belgium,7,227.3857142857143,0
Bhutan,2,239.3,0
Brazil,109,168.60926605504588,7
Brunei Darussalam,1,246.57,0
Bulgaria,4,194.65,1
Canada,392,147.93506393861892,54
Central African Republic,1,48.36,1
Chile,22,173.47227272727272,2
China,133,180.35278195488723,18
Colombia,5,211.696,0
Czech Republic,3,181.44333333333336,0
Denmark,7,192.97571428571428,1
Dominican Republic,1,252.08,0
Ecuador,2,225.205,0
Egypt,18,213.65444444444444,1
Ethiopia,10,223.766,0
Fiji,2,209.39499999999998,0
Finland,6,252.48666666666668,0
France,46,176.7241304347826,9
Georgia,3,98.96666666666665,2
Germany,48,160.37979166666665,12
Greece,9,136.47,3
Guatemala,1,64.28,0
Hungary,1,231.87,0
Iceland,11,214.92545454545453,0
India,76,173.59486842105264,10
Indonesia,36,195.0782857142857,2
Ireland,38,170.6457894736842,4
Islamic Republic of Iran,1,226.02,0
Israel,23,235.77739130434784,0
Italy,4,188.885,0
Japan,187,167.5050267379679,23
Jordan,2,239.34500000000003,0
Kazakhstan,2,244.085,0
Kenya,1,200.06,0
Kingdom of the Netherlands,21,204.22238095238095,4
Kuwait,2,224.095,0
Latvia,2,232.91,0
Lithuania,4,116.445,2
Luxembourg,1,284.62,0
Malaysia,33,206.72545454545457,0
Malta,21,187.68857142857144,1
Mexico,94,172.94478723404254,10
Morocco,5,206.664,0
Myanmar,6,96.35000000000001,0
New Zealand,87,80.67862068965518,6
Norway,3,230.81000000000003,0
Oman,6,234.78833333333333,0
Pakistan,2,253.14,0
Panama,13,230.1123076923077,0
Philippines,55,124.34254545454546,8
Poland,9,198.06888888888886,1
Portugal,16,154.470625,3
Qatar,20,235.362,0
Republic of Korea,83,189.00493975903615,3
Republic of Moldova,2,155.385,0
Romania,5,119.37199999999999,1
Russian Federation,12,174.8275,2
San Marino,2,246.07999999999998,0
Saudi Arabia,7,257.35714285714283,0
Serbia,4,188.17249999999999,0
Singapore,28,187.36357142857145,3
Spain,40,174.478,5
Sri Lanka,3,211.28333333333333,0
Swaziland,1,229.87,0
Sweden,3,154.88,0
Switzerland,8,98.83,4
Syrian Arab Republic,1,196.3,0
Taiwan,49,183.2942857142857,4
Thailand,30,173.93366666666668,3
Trinidad and Tobago,2,134.64499999999998,0
Tunisia,3,205.51,0
Turkey,141,203.14425531914893,6
Ukraine,3,212.16333333333333,0
United Arab Emirates,50,211.21,2
United Kingdom,165,194.67472727272727,16
United States,4997,141.60055855855856,545
Uzbekistan,6,194.67999999999998,0
Viet Nam,9,178.4711111111111,1
