icao24,origin_country,velocity,on_ground
39de4f,France,243.2,False
a89ea5,United States,36.61,False
39de4e,France,233.08,False
a5f852,United States,7.2,True
aa3cbe,United States,0.0,True
39de4b,France,229.62,False
39de4a,France,228.47,False
a23582,United States,32.32,False
39de58,France,238.44,False
a3feee,United States,37.81,False
a5953a,United States,44.09,False
c07d20,Canada,160.14,False
39de51,France,218.71,False
39de53,France,218.88,False
39de55,France,160.31,False
39de54,France,222.97,False
a34230,United States,240.62,False
a3fefb,United States,130.68,False
801647,India,199.47,False
a41ef3,United States,230.33,False
acdfa6,United States,79.87,False
a9a0fd,United States,36.35,False
c07d11,Canada,47.1,False
ac4963,United States,100.84,False
a3b88e,United States,194.64,False
aed922,United States,84.6,False
a4c549,United States,58.28,False
ac2308,United States,188.72,False
a36898,United States,236.37,False
acdfa3,United States,213.31,False
a4c54b,United States,84.37,False
a3a578,United States,136.34,False
801616,India,137.45,False
a1befc,United States,258.82,False
a65edc,United States,58.44,False
a5d201,United States,103.96,False
ad5622,United States,236.97,False
80161c,India,104.81,False
ad5623,United States,1.54,True
a2decd,United States,69.75,False
ab0347,United States,38.1,False
a6aec4,United States,168.81,False
ad5628,United States,239.3,False
a6aec0,United States,217.95,False
a89eb9,United States,31.32,False
a0e250,United States,10.8,True
39de46,France,221.63,False
39de45,France,236.83,False
39de48,France,219.34,False
a0e23b,United States,42.71,False
39de47,France,222.22,False
39de49,France,0.0,True
ac3656,United States,148.55,False
39de40,France,230.7,False
39de42,France,238.45,False
39de41,France,214.69,False
407a01,United Kingdom,135.72,False
80166c,India,228.11,False
44028c,Austria,68.34,False
adeca5,United States,76.14,False
ab0356,United States,229.65,False
511188,Estonia,110.17,False
aad012,United States,275.9,False
4acb01,Sweden,222.05,False
acccc6,United States,69.45,False
a47597,United States,240.65,False
51116f,Estonia,223.76,False
e80252,Chile,244.14,False
4bc8c6,Turkey,74.24,False
4bc8c4,Turkey,241.82,False
c0229c,Canada,35.03,False
a9b3df,United States,36.76,False
4bc8c3,Turkey,143.9,False
ae1fd5,United States,49.61,False
e8024a,Chile,211.39,False
abf008,United States,81.04,False
511171,Estonia,248.03,False
511172,Estonia,240.76,False
a5f808,United States,251.77,False
a59519,United States,0.77,True
801699,India,225.01,False
a4d838,United States,205.85,False
4bc8d4,Turkey,234.53,False
80164f,India,231.54,False
ac101f,United States,222.14,False
a35592,United States,183.71,False
a39bfa,United States,218.21,False
471efa,Hungary,221.97,False
471efb,Hungary,251.42,False
e80270,Chile,88.06,False
471eff,Hungary,82.23,False
471efd,Hungary,219.46,False
801663,India,131.92,False
ac3688,United States,267.03,False
a3b85b,United States,52.79,False
ad3006,United States,184.85,False
51118a,Estonia,242.0,False
511195,Estonia,215.29,False
a3a541,United States,53.82,False
80165a,India,238.2,False
e8026d,Chile,233.48,False
80165d,India,237.98,False
ae6316,United States,247.04,False
511194,Estonia,185.29,False
ac1042,United States,268.1,False
a5951e,United States,78.75,False
3442c2,Spain,131.7,False
abf025,United States,265.66,False
aae36f,United States,238.84,False
a3fef1,United States,86.74,False
a4c527,United States,256.77,False
801670,India,228.93,False
0d11c0,Mexico,164.25,False
aa8075,United States,81.85,False
3455da,Spain,8.75,True
abad94,United States,171.34,False
0d11c8,Mexico,32.67,False
a114a4,United States,97.18,False
adda32,United States,68.66,False
4acb43,Sweden,59.43,False
4acb42,Sweden,220.25,False
a02a0a,United States,92.57,False
a4b294,United States,156.4,False
e80210,Chile,241.39,False
e80212,Chile,223.02,False
adda23,United States,0.0,True
ae61b7,United States,75.53,False
ac6a65,United States,280.5,False
0d11d1,Mexico,139.13,False
a9523e,United States,103.51,False
3455d7,Spain,0.0,True
440248,Austria,229.87,False
3455d8,Spain,246.04,False
adb7ee,United States,225.15,False
a03d4c,United States,134.89,False
e8020c,Chile,222.76,False
4acb58,Sweden,235.25,False
3455d5,Spain,241.63,False
a71264,United States,245.87,False
a5829d,United States,137.71,False
44023f,Austria,76.35,False
a6f23d,United States,232.31,False
a9a224,United States,82.51,False
3c5ee8,Germany,223.8,False
